path,entropy,isSuspicious,scanStatus
/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-input-tracking-8.9.jar,7.78876,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-input-tracking-8.9.jar → FALSE POSITIVE (Reason: High entropy but not flagged as suspicious.)

/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-logging-8.9.jar,7.81456,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-logging-8.9.jar → FALSE POSITIVE (Reason: High entropy but standard path for gradle libraries and not flagged as suspicious.)

/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/kotlin-daemon-embeddable-1.9.23.jar,7.92058,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/kotlin-daemon-embeddable-1.9.23.jar → FALSE POSITIVE (Reason: High entropy but standard path for gradle.)

/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-kotlin-dsl-extensions-8.9.jar,7.83981,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-kotlin-dsl-extensions-8.9.jar → FALSE POSITIVE (Reason: High entropy but standard path for gradle.)

/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/file-events-windows-i386-min-0.22-milestone-26.jar,7.99726,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/file-events-windows-i386-min-0.22-milestone-26.jar → FALSE POSITIVE (Reason: High entropy but not flagged as suspicious.)

/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-launcher-8.9.jar,7.85321,No,/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/gradle-launcher-8.9.jar → FALSE POSITIVE (Reason: High entropy but standard path for gradle and not flagged as suspicious.)

